,user_id,date,stress_level,stress_level_2,stress_category
0,u00,2013-03-27,1,3.0,Good
1,u00,2013-03-28,4,2.0,Good
2,u00,2013-03-29,4,2.0,Good
3,u00,2013-03-30,4,2.0,Good
4,u00,2013-03-31,4,2.0,Good
5,u00,2013-04-01,,2.5,Good
6,u00,2013-04-02,1,3.0,Good
7,u00,2013-04-03,2,4.0,Stressed
8,u00,2013-04-04,4,2.0,Good
9,u00,2013-04-05,2,4.0,Stressed
10,u00,2013-04-06,1,3.0,Good
11,u00,2013-04-07,5,1.0,Good
12,u00,2013-04-08,3,5.0,Stressed
13,u00,2013-04-09,3,5.0,Stressed
14,u00,2013-04-10,1,3.0,Good
15,u00,2013-04-11,,3.5,Stressed
16,u00,2013-04-12,2,4.0,Stressed
17,u00,2013-04-13,,4.5,Stressed
18,u00,2013-04-14,3,5.0,Stressed
19,u00,2013-04-15,3,5.0,Stressed
20,u00,2013-04-16,3,5.0,Stressed
21,u00,2013-04-17,3,5.0,Stressed
22,u00,2013-04-18,4,2.0,Good
23,u00,2013-04-19,,2.2,Good
24,u00,2013-04-20,,2.4,Good
25,u00,2013-04-21,,2.6,Good
26,u00,2013-04-22,,2.8,Good
27,u00,2013-04-23,1,3.0,Good
28,u00,2013-04-24,,3.0,Good
29,u00,2013-04-25,1,3.0,Good
30,u00,2013-04-26,1,3.0,Good
31,u00,2013-04-27,,3.0,Good
32,u00,2013-04-28,1,3.0,Good
33,u00,2013-04-29,2,4.0,Stressed
34,u00,2013-04-30,3,5.0,Stressed
35,u00,2013-05-01,,4.714285714285714,Stressed
36,u00,2013-05-02,,4.428571428571429,Stressed
37,u00,2013-05-03,,4.142857142857143,Stressed
38,u00,2013-05-04,,3.857142857142857,Stressed
39,u00,2013-05-05,,3.5714285714285716,Stressed
40,u00,2013-05-06,,3.2857142857142856,Stressed
41,u00,2013-05-07,1,3.0,Good
42,u00,2013-05-08,1,3.0,Good
43,u00,2013-05-09,4,2.0,Good
44,u00,2013-05-10,,2.0,Good
45,u00,2013-05-11,,2.0,Good
46,u00,2013-05-12,,2.0,Good
47,u00,2013-05-13,,2.0,Good
48,u00,2013-05-14,,2.0,Good
49,u00,2013-05-15,4,2.0,Good
50,u00,2013-05-16,4,2.0,Good
51,u00,2013-05-17,4,2.0,Good
52,u00,2013-05-18,4,2.0,Good
53,u00,2013-05-19,,2.5,Good
54,u00,2013-05-20,1,3.0,Good
55,u00,2013-05-21,2,4.0,Stressed
56,u00,2013-05-22,1,3.0,Good
57,u00,2013-05-23,1,3.0,Good
58,u00,2013-05-24,1,3.0,Good
59,u00,2013-05-25,2,4.0,Stressed
60,u00,2013-05-26,,4.0,Stressed
61,u00,2013-05-27,,4.0,Stressed
62,u00,2013-05-28,,4.0,Stressed
63,u00,2013-05-29,,4.0,Stressed
64,u00,2013-05-30,,4.0,Stressed
65,u00,2013-05-31,,4.0,Stressed
66,u00,2013-06-01,,4.0,Stressed
67,u01,2013-03-27,4,2.0,Good
68,u01,2013-03-28,4,2.0,Good
69,u01,2013-03-29,1,3.0,Good
70,u01,2013-03-30,1,3.0,Good
71,u01,2013-03-31,1,3.0,Good
72,u01,2013-04-01,2,4.0,Stressed
73,u01,2013-04-02,,3.5,Stressed
74,u01,2013-04-03,1,3.0,Good
75,u01,2013-04-04,4,2.0,Good
76,u01,2013-04-05,4,2.0,Good
77,u01,2013-04-06,4,2.0,Good
78,u01,2013-04-07,1,3.0,Good
